Year,US Population,Total,Under 18,Under 22,18 and over,Infant (under 1),1 to 4,5 to 8,9 to 12,13 to 16,17 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 and over,Unknown age
2004,293656842,195,24,37,115,9,7,1,1,6,2,23,19,11,13,7,12,9,7,5,2,1,4,56
2005,296507061,212,25,50,131,10,8,1,1,1,11,25,16,17,14,16,12,9,4,5,1,0,5,56
2006,299398484,207,18,35,128,8,4,1,0,1,12,31,15,18,12,7,12,9,7,3,1,1,4,61
2007,301621157,222,22,49,141,5,5,1,2,7,15,29,24,16,14,19,10,4,3,3,2,1,3,59
2008,304059724,239,26,42,151,5,9,5,1,2,12,18,26,28,17,17,12,7,5,4,5,2,2,62
2009,307006550,152,11,31,114,6,1,1,0,2,10,24,16,19,9,10,7,9,4,3,1,3,0,27
2010,309330219,152,19,29,93,4,8,0,3,2,7,16,20,15,11,8,4,4,6,1,1,0,2,40
2011,311587816,175,20,33,123,10,6,2,0,2,4,25,19,12,15,11,10,9,5,2,4,4,3,32
2012,313873685,130,11,28,95,1,8,0,0,2,6,20,24,11,7,7,8,5,1,0,1,2,3,24
2013,316128839,147,22,37,100,4,9,2,3,3,9,16,13,7,12,11,10,2,5,4,4,2,6,25
