Year,US Population,Total,Under 18,Under 22,18 and over,Infant (under 1),1 to 4,5 to 8,9 to 12,13 to 16,17 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 and over,Unknown age
2004,293656842,365,34,94,327,4,8,0,4,10,37,64,37,47,33,31,23,21,10,10,10,8,4,4
2005,296507061,390,35,96,350,4,5,4,2,10,32,93,48,36,32,38,25,19,13,11,6,4,3,5
2006,299398484,406,40,102,361,3,9,4,6,8,50,70,41,40,36,28,40,28,15,12,4,3,4,5
2007,301621157,345,40,80,301,9,6,4,4,9,23,58,36,40,32,36,25,11,16,13,11,3,5,4
2008,304059724,321,40,71,276,7,15,5,3,8,16,42,44,39,31,24,17,16,20,8,12,7,2,5
2009,307006550,321,40,71,276,7,15,5,3,8,16,42,44,39,31,24,17,16,20,8,12,7,2,5
2010,309330219,331,37,65,291,5,11,4,3,9,20,40,34,35,31,31,26,19,25,17,3,8,7,3
2011,311587816,335,36,70,294,8,5,6,8,8,21,52,50,29,30,27,24,16,18,11,3,8,6,5
2012,313873685,326,22,52,304,3,10,1,1,5,14,45,39,34,24,22,23,19,31,25,12,5,13,0
2013,316128839,308,31,54,277,4,11,4,5,5,13,39,51,32,36,25,17,20,17,14,5,6,4,0
