Year,State,Population,Number of agencies,Total law enforcement employees,Total male officers,Total female officers,Total male civilians,Total female civilians
2005,ALABAMA,3984466,282,12786,8058,689,1524,2515
2005,ALASKA,662033,41,1838,1058,116,201,463
2005,ARIZONA,5815860,99,20560,10364,1208,4091,4897
2005,ARKANSAS,2779961,265,8172,4871,564,1030,1707
2005,CALIFORNIA,31138193,451,111062,63540,9313,13579,24630
2005,COLORADO,4397035,227,15449,9245,1338,1519,3347
2005,CONNECTICUT,3510297,101,9628,7138,692,677,1121
2005,DELAWARE,843524,53,3183,2020,287,323,553
2005,DISTRICT OF COLUMBIA,550521,3,4811,3210,957,260,384
2005,FLORIDA,17661970,402,71146,36447,5995,10747,17957
2005,GEORGIA,8209878,459,28811,17924,2872,2730,5285
2005,HAWAII,1275194,4,3568,2547,275,212,534
2005,IDAHO,1426766,107,3679,2362,161,193,963
2005,ILLINOIS,12720852,761,51390,30964,5572,7003,7851
2005,INDIANA,6043427,244,16701,9839,778,2813,3271
2005,IOWA,2966334,234,7557,4641,368,914,1634
2005,KANSAS,2698592,342,10412,6471,614,1264,2063
2005,KENTUCKY,4167174,395,10219,7317,589,871,1442
2005,LOUISIANA,3713890,179,16901,11067,2555,873,2406
2005,MAINE,1320239,131,2886,2084,129,285,388
2005,MARYLAND,5599201,148,19745,12885,2047,1854,2959
2005,MASSACHUSETTS,6213692,331,19579,14940,1346,1363,1930
2005,MICHIGAN,10006482,617,26634,17001,2681,2951,4001
2005,MINNESOTA,4992123,317,12795,7367,941,1751,2736
2005,MISSISSIPPI,2441159,178,8502,4718,418,1357,2009
2005,MISSOURI,5607484,526,18588,11671,1248,2241,3428
2005,MONTANA,933609,109,2796,1505,108,471,712
2005,NEBRASKA,1687588,156,4613,3017,369,313,914
2005,NEVADA,2414807,36,8538,4445,521,1345,2227
2005,NEW HAMPSHIRE,1124982,139,3098,2175,173,213,537
2005,NEW JERSEY,8447923,532,40810,29346,2531,3217,5716
2005,NEW MEXICO,1809415,95,5537,3672,364,456,1045
2005,NEW YORK,17905562,409,83625,52544,8351,7380,15350
2005,NORTH CAROLINA,8586228,509,30132,18656,2417,4012,5047
2005,NORTH DAKOTA,634904,96,1591,1079,95,132,285
2005,OHIO,10491311,554,31100,19889,2383,3420,5408
