state,year,population,violent crime total,murder and nonnegligent manslaughter,forcible rape,robbery,aggravated assault,property crime total,burglary,larceny-theft,motor vehicle theft,violent crime rate,murder and nonnegligent manslaughter rate,forcible rape rate,robbery rate,aggravated assault rate,property crime rate,burglary rate,larceny-theft rate,motor vehicle theft rate
Alabama,1960,3266740.0,6097.0,406.0,281.0,898.0,4512.0,33823.0,11626.0,19344.0,2853.0,186.6,12.4,8.6,27.5,138.1,1035.4,355.9,592.1,87.3
Alabama,1961,3302000.0,5564.0,427.0,252.0,630.0,4255.0,32541.0,11205.0,18801.0,2535.0,168.5,12.9,7.6,19.1,128.9,985.5,339.3,569.4,76.8
Alabama,1962,3358000.0,5283.0,316.0,218.0,754.0,3995.0,35829.0,11722.0,21306.0,2801.0,157.3,9.4,6.5,22.5,119.0,1067.0,349.1,634.5,83.4
Alabama,1963,3347000.0,6115.0,340.0,192.0,828.0,4755.0,38521.0,12614.0,22874.0,3033.0,182.7,10.2,5.7,24.7,142.1,1150.9,376.9,683.4,90.6
Alabama,1964,3407000.0,7260.0,316.0,397.0,992.0,5555.0,46290.0,15898.0,26713.0,3679.0,213.1,9.3,11.7,29.1,163.0,1358.7,466.6,784.1,108.0
Alabama,1965,3462000.0,6916.0,395.0,367.0,992.0,5162.0,48215.0,16398.0,28115.0,3702.0,199.8,11.4,10.6,28.7,149.1,1392.7,473.7,812.1,106.9
Alabama,1966,3517000.0,8098.0,384.0,341.0,1124.0,6249.0,53740.0,18551.0,30583.0,4606.0,230.3,10.9,9.7,32.0,177.7,1528.0,527.5,869.6,131.0
Alabama,1967,3540000.0,8448.0,415.0,371.0,1167.0,6495.0,57079.0,20227.0,31682.0,5170.0,238.6,11.7,10.5,33.0,183.5,1612.4,571.4,895.0,146.0
Alabama,1968,3566000.0,8288.0,421.0,396.0,1462.0,6009.0,62997.0,22403.0,34508.0,6086.0,232.4,11.8,11.1,41.0,168.5,1766.6,628.2,967.7,170.7
Alabama,1969,3531000.0,8842.0,485.0,494.0,1448.0,6415.0,66248.0,23559.0,36644.0,6045.0,250.4,13.7,14.0,41.0,181.7,1876.2,667.2,1037.8,171.2
Alabama,1970,3444165.0,10185.0,404.0,637.0,1731.0,7413.0,75214.0,26739.0,40779.0,7696.0,295.7,11.7,18.5,50.3,215.2,2183.8,776.4,1184.0,223.5
Alabama,1971,3479000.0,10835.0,524.0,661.0,2005.0,7645.0,76084.0,27547.0,40841.0,7696.0,311.4,15.1,19.0,57.6,219.7,2187.0,791.8,1173.9,221.2
Alabama,1972,3510000.0,10994.0,496.0,660.0,2407.0,7431.0,73053.0,27714.0,38493.0,6846.0,313.2,14.1,18.8,68.6,211.7,2081.3,789.6,1096.7,195.0
Alabama,1973,3539000.0,12390.0,468.0,751.0,2809.0,8362.0,78999.0,31754.0,39206.0,8039.0,350.1,13.2,21.2,79.4,236.3,2232.2,897.3,1107.8,227.2
Alabama,1974,3577000.0,13338.0,536.0,811.0,3562.0,8429.0,93976.0,37841.0,46813.0,9322.0,372.9,15.0,22.7,99.6,235.6,2627.2,1057.9,1308.7,260.6
Alabama,1975,3614000.0,14201.0,577.0,738.0,4446.0,8440.0,111296.0,42059.0,59470.0,9767.0,392.9,16.0,20.4,123.0,233.5,3079.6,1163.8,1645.5,270.3
Alabama,1976,3665000.0,14248.0,553.0,794.0,3520.0,9381.0,125325.0,42879.0,72832.0,9614.0,388.8,15.1,21.7,96.0,256.0,3419.5,1170.0,1987.2,262.3
Alabama,1977,3690000.0,15293.0,524.0,929.0,3572.0,10268.0,121702.0,41901.0,69442.0,10359.0,414.4,14.2,25.2,96.8,278.3,3298.2,1135.5,1881.9,280.7
Alabama,1978,3742000.0,15682.0,499.0,954.0,3708.0,10521.0,131707.0,46001.0,74387.0,11319.0,419.1,13.3,25.5,99.1,281.2,3519.7,1229.3,1987.9,302.5
Alabama,1979,3769000.0,15578.0,496.0,1037.0,4127.0,9918.0,144372.0,48517.0,83791.0,12064.0,413.3,13.2,27.5,109.5,263.1,3830.5,1287.3,2223.2,320.1
Alabama,1980,3861466.0,17320.0,509.0,1158.0,5102.0,10551.0,173191.0,58952.0,102029.0,12210.0,448.5,13.2,30.0,132.1,273.2,4485.1,1526.7,2642.2,316.2
Alabama,1981,3916000.0,18423.0,465.0,1021.0,4952.0,11985.0,173411.0,56811.0,105471.0,11129.0,470.5,11.9,26.1,126.5,306.1,4428.3,1450.7,2693.3,284.2
Alabama,1982,3943000.0,17653.0,417.0,1026.0,4417.0,11793.0,165048.0,49531.0,104740.0,10777.0,447.7,10.6,26.0,112.0,299.1,4185.8,1256.2,2656.4,273.3
Alabama,1983,3959000.0,16471.0,364.0,931.0,3895.0,11281.0,145890.0,42485.0,94279.0,9126.0,416.0,9.2,23.5,98.4,284.9,3685.0,1073.1,2381.4,230.5
Alabama,1984,3990000.0,17204.0,374.0,1002.0,3833.0,11995.0,138487.0,39970.0,89198.0,9319.0,431.2,9.4,25.1,96.1,300.6,3470.9,1001.8,2235.5,233.6
Alabama,1985,4021000.0,18398.0,396.0,1079.0,4237.0,12686.0,140115.0,41612.0,88108.0,10395.0,457.5,9.8,26.8,105.4,315.5,3484.6,1034.9,2191.2,258.5
