Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2010

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Accomack County Sheriff Office,VA,12,,          54,           2,           7,          29,          16,         472,         125,         315,          32,,,,,,,,,
Albemarle County Police Department,VA,12,,         125,           1,          28,          21,          75,       1815,         296,       1442,          77,,,,,,,,,
Alexandria Police Dept,VA,12,     139966,         272,           2,          22,         125,         123,       3263,         317,       2658,         288,         194.3,           1.4,          15.7,          89.3,          87.9,       2331.3,         226.5,       1899.0,         205.8
Amherst County Sheriff Office,VA,12,,          28,           0,           6,           3,          19,         458,          53,         388,          17,,,,,,,,,
Arlington County Police Department,VA,12,,         325,           1,          25,         141,         158,       4410,         303,       3902,         205,,,,,,,,,
Augusta County Sheriff Office,VA,12,,          73,           2,           8,           3,          60,         758,         161,         550,          47,,,,,,,,,
Bedford County Sheriff Office,VA,12,,         245,           2,           7,           2,         234,         753,         189,         512,          52,,,,,,,,,
Blacksburg Police Dept,VA,12,      42620,          38,           0,          14,           9,          15,         695,         121,         550,          24,          89.2,            .0,          32.8,          21.1,          35.2,       1630.7,         283.9,       1290.5,          56.3
Botetourt County Sheriff Office,VA,12,,          30,           0,           3,           3,          24,         351,          87,         247,          17,,,,,,,,,
Bristol Police Dept,VA,12,      17835,          61,           1,          11,          10,          39,         601,          89,         491,          21,         342.0,           5.6,          61.7,          56.1,         218.7,       3369.8,         499.0,       2753.0,         117.7
Campbell County Sheriff Office,VA,12,,          66,           2,          12,           9,          43,         710,         157,         512,          41,,,,,,,,,
Caroline County Sheriff Office,VA,12,,          45,           0,          10,          10,          25,         440,          67,         348,          25,,,,,,,,,
Carroll County Sheriff Office,VA,12,,          28,           1,           7,           3,          17,         435,         128,         274,          33,,,,,,,,,
Charlottesville Police Dept,VA,12,      43475,         195,           3,          29,          51,         112,       1699,         164,       1448,          87,         448.5,           6.9,          66.7,         117.3,         257.6,       3908.0,         377.2,       3330.6,         200.1
Chesapeake Police Dept,VA,12,     222209,         877,           9,          30,         276,         562,       7570,       1190,       5986,         394,         394.7,           4.1,          13.5,         124.2,         252.9,       3406.7,         535.5,       2693.9,         177.3
Chesterfield County Police Department,VA,12,,         483,          10,          65,         217,         191,       7052,       1546,       5190,         316,,,,,,,,,
Christiansburg Police Dept,VA,12,      21041,          38,           1,           9,           9,          19,         678,          76,         582,          20,         180.6,           4.8,          42.8,          42.8,          90.3,       3222.3,         361.2,       2766.0,          95.1
Colonial Heights Police Dept,VA,12,      17411,          45,           0,           2,          20,          23,         793,          71,         695,          27,         258.5,            .0,          11.5,         114.9,         132.1,       4554.6,         407.8,       3991.7,         155.1
Culpeper County Sheriff Office,VA,12,,          21,           0,           4,           1,          16,         311,          77,         211,          23,,,,,,,,,
Culpeper Town Police Dept,VA,12,      16379,          68,           0,           4,          21,          43,         386,          22,         347,          17,         415.2,            .0,          24.4,         128.2,         262.5,       2356.7,         134.3,       2118.6,         103.8
Danville Police Dept,VA,12,      43055,         172,           9,          23,          60,          80,       2190,         540,       1584,          66,         399.5,          20.9,          53.4,         139.4,         185.8,       5086.5,       1254.2,       3679.0,         153.3
Dinwiddie County Sheriff Department,VA,12,,          50,           1,           9,           8,          32,         473,         137,         282,          54,,,,,,,,,
Fairfax (City) Police Dept,VA,12,      22565,          30,           0,           3,          10,          17,         559,          25,         501,          33,         132.9,            .0,          13.3,          44.3,          75.3,       2477.3,         110.8,       2220.3,         146.2
Fairfax County Police Department,VA,12,,         971,          23,         127,         383,         438,      15707,       1210,      13519,         978,,,,,,,,,
Falls Church Police Dept,VA,12,      12332,          13,           0,           1,           6,           6,         310,          19,         269,          22,         105.4,            .0,           8.1,          48.7,          48.7,       2513.8,         154.1,       2181.3,         178.4
Fauquier County Sheriff Office,VA,12,,          42,           0,          12,           5,          25,         599,         111,         450,          38,,,,,,,,,
Fluvanna County Sheriff Department,VA,12,,          17,           0,           1,           1,          15,         275,          58,         200,          17,,,,,,,,,
Franklin County Sheriff Office,VA,12,,          33,           2,           9,           3,          19,         609,         114,         448,          47,,,,,,,,,
Frederick County Sheriff Office,VA,12,,          95,           3,          42,          22,          28,       1526,         377,       1055,          94,,,,,,,,,
Fredericksburg Police Dept,VA,12,      24286,          98,           0,           8,          20,          70,       1082,         116,         935,          31,         403.5,            .0,          32.9,          82.4,         288.2,       4455.2,         477.6,       3850.0,         127.6
Front Royal Police Dept,VA,12,      14440,          31,           0,           6,           9,          16,         509,          39,         450,          20,         214.7,            .0,          41.6,          62.3,         110.8,       3524.9,         270.1,       3116.3,         138.5
Gloucester County Sheriff Office,VA,12,,          18,           0,           5,           2,          11,         590,          79,         495,          16,,,,,,,,,
Halifax County Sheriff Department,VA,12,,          35,           1,          10,           8,          16,         467,         133,         287,          47,,,,,,,,,
Hampton Police Dept,VA,12,     137436,         394,          14,          30,         176,         174,       5359,         762,       4250,         347,         286.7,          10.2,          21.8,         128.1,         126.6,       3899.3,         554.4,       3092.3,         252.5
Hanover,VA,12,,          56,           1,          10,           7,          38,         929,         120,         743,          66,,,,,,,,,
Harrisonburg Police Dept,VA,12,      48914,          91,           1,          11,          13,          66,       1076,         135,         905,          36,         186.0,           2.0,          22.5,          26.6,         134.9,       2199.8,         276.0,       1850.2,          73.6
Henrico County Police Dept,VA,12,,         499,          12,          28,         249,         210,       7674,       1206,       6110,         358,,,,,,,,,
Henry County Sheriff Office,VA,12,,         156,           6,           7,          26,         117,       1057,         289,         699,          69,,,,,,,,,
Herndon Police Dept,VA,12,      23292,          48,           0,           3,          10,          35,         412,          38,         361,          13,         206.1,            .0,          12.9,          42.9,         150.3,       1768.8,         163.1,       1549.9,          55.8
Hopewell Police Dept,VA,12,      22591,         205,           2,           9,          54,         140,       1044,         273,         667,         104,         907.4,           8.9,          39.8,         239.0,         619.7,       4621.3,       1208.4,       2952.5,         460.4
James City County Police Department,VA,12,,          62,           0,           6,          11,          45,         969,         198,         730,          41,,,,,,,,,
Leesburg Police Dept,VA,12,      42616,          56,           0,          13,           9,          34,         754,          41,         681,          32,         131.4,            .0,          30.5,          21.1,          79.8,       1769.3,          96.2,       1598.0,          75.1
Loudoun County Sheriff Office,VA,12,,         189,           0,          29,          35,         125,       2790,         308,       2344,         138,,,,,,,,,
Louisa County Sheriff Office,VA,12,,          40,           0,           5,           3,          32,         282,          66,         215,           1,,,,,,,,,
Lynchburg Police Dept,VA,12,      75568,         323,           4,          26,          75,         218,       2608,         436,       2077,          95,         427.4,           5.3,          34.4,          99.2,         288.5,       3451.2,         577.0,       2748.5,         125.7
Manassas Police Dept,VA,12,      37821,         137,           1,          15,          55,          66,       1005,         125,         804,          76,         362.2,           2.6,          39.7,         145.4,         174.5,       2657.3,         330.5,       2125.8,         200.9
Manassas Park Police Dept,VA,12,      14273,          18,           0,           7,           6,           5,         202,          14,         175,          13,         126.1,            .0,          49.0,          42.0,          35.0,       1415.3,          98.1,       1226.1,          91.1
Martinsville Police Dept,VA,12,      13821,          39,           3,           6,          13,          17,         452,          72,         367,          13,         282.2,          21.7,          43.4,          94.1,         123.0,       3270.4,         520.9,       2655.4,          94.1
Montgomery County Sheriff Office,VA,12,,          39,           0,           3,           2,          34,         584,         183,         368,          33,,,,,,,,,
Newport News Police Dept,VA,12,     180719,         983,          23,          87,         375,         498,       6638,       1268,       4928,         442,         543.9,          12.7,          48.1,         207.5,         275.6,       3673.1,         701.6,       2726.9,         244.6
Norfolk Police Dept,VA,12,     242803,       1450,          34,          94,         595,         727,      13201,       2162,      10117,         922,         597.2,          14.0,          38.7,         245.1,         299.4,       5436.9,         890.4,       4166.8,         379.7
Orange County Sheriff Office,VA,12,,          17,           0,           4,           3,          10,         177,          34,         130,          13,,,,,,,,,
Petersburg Police Dept,VA,12,      32420,         189,          12,           6,          63,         108,       1505,         436,         933,         136,         583.0,          37.0,          18.5,         194.3,         333.1,       4642.2,       1344.8,       2877.9,         419.5
Pittsylvania County Sheriff Office,VA,12,,          46,           4,           5,           8,          29,         701,         252,         405,          44,,,,,,,,,
Poquoson Police Dept,VA,12,      12150,           8,           0,           0,           0,           8,         136,          20,         107,           9,          65.8,            .0,            .0,            .0,          65.8,       1119.3,         164.6,         880.7,          74.1
Portsmouth Police Dept,VA,12,      95535,         610,          13,          21,         267,         309,       5510,       1326,       3910,         274,         638.5,          13.6,          22.0,         279.5,         323.4,       5767.5,       1388.0,       4092.7,         286.8
Powhatan County Sheriff Office,VA,12,,          13,           2,           3,           0,           8,         248,          68,         169,          11,,,,,,,,,
Prince George County Police Department,VA,12,,          27,           2,           5,           8,          12,         490,          87,         379,          24,,,,,,,,,
Prince William County Police Department,VA,12,,         620,           9,          39,         228,         344,       7450,       1020,       5984,         446,,,,,,,,,
Radford Police Dept,VA,12,      16408,          64,           1,           6,           6,          51,         463,         105,         343,          15,         390.1,           6.1,          36.6,          36.6,         310.8,       2821.8,         639.9,       2090.4,          91.4
Richmond (City) Bureau Of Police,VA,12,     204214,       1514,          42,          41,         736,         695,       8595,       1785,       5938,         872,         741.4,          20.6,          20.1,         360.4,         340.3,       4208.8,         874.1,       2907.7,         427.0
Roanoke (City) Police Dept,VA,12,      97032,         676,           9,          28,         176,         463,       4748,         887,       3617,         244,         696.7,           9.3,          28.9,         181.4,         477.2,       4893.2,         914.1,       3727.6,         251.5
Roanoke County Police Department,VA,12,,          99,           6,          22,          13,          58,       1196,         255,         906,          35,,,,,,,,,
Rockingham County Sheriff Department,VA,12,,          40,           0,          14,           1,          25,         279,          79,         192,           8,,,,,,,,,
Salem Police Dept,VA,12,      24802,          34,           1,           6,           6,          21,         683,          89,         565,          29,         137.1,           4.0,          24.2,          24.2,          84.7,       2753.8,         358.8,       2278.0,         116.9
Shenandoah,VA,12,,          18,           0,           3,           2,          13,         377,         113,         250,          14,,,,,,,,,
Spotsylvania County Sheriff Office,VA,12,,         263,           7,          29,          51,         176,       2378,         218,       2035,         125,,,,,,,,,
Stafford County Sheriff Office,VA,12,,         207,           2,          36,          54,         115,       2085,         204,       1751,         130,,,,,,,,,
Staunton Police Dept,VA,12,      23746,          30,           0,           3,           4,          23,         534,          58,         466,          10,         126.3,            .0,          12.6,          16.8,          96.9,       2248.8,         244.3,       1962.4,          42.1
Suffolk Police Dept,VA,12,      84585,         267,           3,          20,          80,         164,       2067,         390,       1575,         102,         315.7,           3.5,          23.6,          94.6,         193.9,       2443.7,         461.1,       1862.0,         120.6
Tazewell County Sheriff Office,VA,12,,          20,           3,           3,           0,          14,         575,         150,         390,          35,,,,,,,,,
Vienna Police Dept,VA,12,      15687,          27,           0,           1,           9,          17,         276,          35,         227,          14,         172.1,            .0,           6.4,          57.4,         108.4,       1759.4,         223.1,       1447.1,          89.2
Virginia Beach Police Dept,VA,12,     437994,         831,          14,          53,         429,         335,      13325,       2164,      10501,         660,         189.7,           3.2,          12.1,          97.9,          76.5,       3042.3,         494.1,       2397.5,         150.7
Washington County Sheriff Office,VA,12,,          39,           1,           8,           2,          28,         975,         169,         789,          17,,,,,,,,,
Waynesboro Police Dept,VA,12,      21006,          72,           2,           8,          19,          43,         653,         105,         524,          24,         342.8,           9.5,          38.1,          90.5,         204.7,       3108.6,         499.9,       2494.5,         114.3
Williamsburg Police Dept,VA,12,      14068,          18,           1,           1,           6,          10,         267,          35,         222,          10,         127.9,           7.1,           7.1,          42.6,          71.1,       1897.9,         248.8,       1578.0,          71.1
Winchester Police Dept,VA,12,      26203,          56,           0,           8,          20,          28,       1127,         146,         958,          23,         213.7,            .0,          30.5,          76.3,         106.9,       4301.0,         557.2,       3656.1,          87.8
Wise County Sheriff Office,VA,12,,          37,           1,           9,           2,          25,         402,         116,         264,          22,,,,,,,,,
York County Sheriff Office,VA,12,,          85,           0,           4,          21,          60,       1205,         206,         965,          34,,,,,,,,,

